Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
89.5,-1.295952066,24.21251028,0.150763933,19.01778428,20.37771189,22.00666068,24.21251028,27.00203925,30.24283177,34.47742403
90.5,-1.306268473,24.42648043,0.151471982,19.17242647,20.54583618,22.19278461,24.42648043,27.25742737,30.55579074,34.88226421
91.5,-1.31589753,24.642312,0.152190413,19.32776424,20.71496001,22.38027095,24.642312,27.51535075,30.87219924,35.2921491
92.5,-1.324778843,24.86009596,0.152920322,19.48378967,20.88510518,22.56917407,24.86009596,27.77592982,31.19218135,35.707147
93.5,-1.332857581,25.07992303,0.153662731,19.64049642,21.05629437,22.75954858,25.07992303,28.03928438,31.51585929,36.12731836
94.5,-1.340080195,25.30188584,0.154418635,19.79787788,21.22855059,22.95145019,25.30188584,28.30553622,31.8433549,36.55271218
95.5,-1.346412105,25.52606977,0.155188768,19.95593574,21.40189997,23.14493249,25.52606977,28.57479705,32.17478161,36.98337837
96.5,-1.351813296,25.75256528,0.155973912,20.1146687,21.57636833,23.34005152,25.75256528,28.84718437,32.51025437,37.41934991
97.5,-1.356253969,25.9814599,0.156774684,20.27408001,21.75198362,23.53686295,25.9814599,29.12281085,32.84988252,37.86065382
98.5,-1.359710858,26.2128399,0.157591579,20.43417606,21.92877558,23.73542282,26.2128399,29.40178631,33.19377093,38.30730842
99.5,-1.362167159,26.44679027,0.158424964,20.59496663,22.10677591,23.93578761,26.44679027,29.68421748,33.54201944,38.75932329
100.5,-1.363612378,26.68339457,0.159275071,20.75646502,22.28601843,24.13801431,26.68339457,29.97020767,33.8947225,39.21669915
101.5,-1.364042106,26.92273494,0.160141995,20.91868832,22.46653924,24.34216053,26.92273494,30.25985653,34.25196875,39.67942783
102.5,-1.363457829,27.16489199,0.161025689,21.08165758,22.64837687,24.54828458,27.16489199,30.5532598,34.61384061,40.14749235
103.5,-1.361865669,27.40994539,0.161925976,21.24539741,22.83157226,24.7564457,27.40994539,30.85050986,34.98041447,40.62086606
104.5,-1.35928261,27.65796978,0.162842452,21.40993987,23.01617007,24.96670281,27.65796978,31.15169009,35.35175676,41.09951874
105.5,-1.355720571,27.90904433,0.163774719,21.57531575,23.20221593,25.17911785,27.90904433,31.45688766,35.72793225,41.58340237
106.5,-1.351202536,28.16324264,0.164722138,21.74156399,23.38975956,25.39375238,28.16324264,31.76617973,36.10899472,42.07246636
107.5,-1.345754408,28.42063744,0.165683945,21.90872739,23.57885344,25.61066925,28.42063744,32.07963965,36.49499102,42.56665066
108.5,-1.339405453,28.68130005,0.166659247,22.07685313,23.769553,25.82993243,28.68130005,32.39733625,36.8859604,43.06588662
109.5,-1.332188093,28.94530029,0.167647017,22.24599293,23.96191672,26.05160708,28.94530029,32.71933351,37.28193426,43.57009739
110.5,-1.324137479,29.21270645,0.168646104,22.41620302,24.15600612,26.27575951,29.21270645,33.04569055,37.68293608,44.07919809
111.5,-1.315291073,29.48358527,0.169655235,22.58754414,24.35188577,26.50245719,29.48358527,33.37646157,38.08898133,44.59309597
112.5,-1.30568824,29.75800198,0.170673022,22.76008145,24.54962324,26.73176876,29.75800198,33.7116958,38.50007744,45.11169064
113.5,-1.295369867,30.03602021,0.17169797,22.93388449,24.74928911,26.96376399,30.03602021,34.05143747,38.9162238,45.63487433
114.5,-1.284374967,30.31770417,0.17272854,23.10902476,24.95095592,27.19851432,30.31770417,34.39572894,39.33741401,46.16252884
115.5,-1.272750864,30.60311107,0.173762961,23.28558367,25.15470129,27.43609072,30.60311107,34.74459982,39.76362815,46.69453697
116.5,-1.260539193,30.89230072,0.174799493,23.46364195,25.36060368,27.67656629,30.89230072,35.09808092,40.19484291,47.23076853
117.5,-1.247783611,31.18532984,0.175836284,23.6432856,25.56874466,27.92001453,31.18532984,35.45619608,40.63102576,47.77108893
118.5,-1.234527763,31.48225315,0.176871417,23.8246044,25.77920825,28.16650963,31.48225315,35.81896391,41.07213642,48.31535768
119.5,-1.220815047,31.78312329,0.177902912,24.00769173,25.99208072,28.41612623,31.78312329,36.18639776,41.51812687,48.86342877
120.5,-1.206688407,32.08799062,0.17892874,24.19264433,26.20745042,28.66893932,32.08799062,36.55850564,41.96894158,49.41515104
121.5,-1.19219015,32.39690313,0.17994683,24.37956211,26.42540754,28.92502395,32.39690313,36.9352902,42.42451755,49.97036852
122.5,-1.177361786,32.7099062,0.180955078,24.5685479,26.64604388,29.18445509,32.7099062,37.31674867,42.88478457,50.52892088
123.5,-1.162243894,33.02704244,0.181951361,24.75970717,26.86945259,29.44730733,33.02704244,37.70287276,43.34966531,51.09064381
124.5,-1.146876007,33.34835148,0.182933537,24.95314776,27.09572788,29.7136546,33.34835148,38.09364865,43.81907554,51.65536941
