Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
142.5,0.415771438,148.2859294,0.0498063,134.773284,138.9967803,143.353228,148.2859294,153.3163996,157.9280318,162.5587616
143.5,0.416777012,148.7917006,0.04987865,135.2131887,139.4572873,143.8349727,148.7917006,153.8466466,158.4806894,163.133893
144.5,0.420919142,149.3088178,0.049947823,135.6621289,139.9279871,144.3276874,149.3088178,154.3880792,159.0439098,163.7185106
145.5,0.428606007,149.8376391,0.050013518,136.1202156,140.409134,144.8317108,149.8376391,154.9409947,159.6178646,164.3125939
146.5,0.440218167,150.3784267,0.050075353,136.5875035,140.9009122,145.3472981,150.3784267,155.505584,160.2026132,164.9160089
147.5,0.456097443,150.9313331,0.050132858,137.0639883,141.403429,145.8746111,150.9313331,156.0819181,160.7980913,165.5285004
148.5,0.476536014,151.4963887,0.050185471,137.5496052,141.9167079,146.4137069,151.4963887,156.6699351,161.4041,166.1496863
149.5,0.501766234,152.0734897,0.050232532,138.0442266,142.4406823,146.9645285,152.0734897,157.2694285,162.0202967,166.7790531
150.5,0.531951655,152.6623878,0.050273285,138.5476617,142.9751899,147.5268957,152.6623878,157.8800378,162.6461885,167.4159536
151.5,0.567179725,153.2626819,0.050306885,139.0596548,143.5199675,148.1004983,153.2626819,158.5012409,163.2811271,168.0596069
152.5,0.607456565,153.8738124,0.050332406,139.5798855,144.0746481,148.6848902,153.8738124,159.1323501,163.9243081,168.7091009
153.5,0.652704121,154.495058,0.05034886,140.1079685,144.6387576,149.2794857,154.495058,159.7725112,164.5747721,169.3633976
154.5,0.702759868,155.1255365,0.050355216,140.6434536,145.2117144,149.8835591,155.1255365,160.4207062,165.2314109,170.0213408
155.5,0.757379106,155.7642086,0.050350423,141.1858268,145.7928297,150.4962462,155.7642086,161.0757603,165.892976,170.6816665
156.5,0.816239713,156.4098858,0.050333444,141.7345116,146.3813098,151.1165487,156.4098858,161.7363527,166.5580917,171.3430163
157.5,0.878947416,157.0612415,0.050303283,142.2888712,146.9762604,151.7433416,157.0612415,162.4010311,167.2252714,172.0039535
158.5,0.945053486,157.7168289,0.050259018,142.8482077,147.576693,152.3753859,157.7168289,163.0682321,167.8929368,172.662978
159.5,1.014046108,158.3750929,0.050199837,143.4117718,148.1815319,153.0113368,158.3750929,163.7362982,168.5594402,173.3185527
160.5,1.085383319,159.034399,0.050125062,143.9787585,148.7896253,153.6497654,159.034399,164.4035075,169.2230883,173.9691164
161.5,1.158487278,159.6930501,0.05003418,144.5483179,149.3997554,154.2891719,159.6930501,165.0680948,169.8821678,174.6131123
162.5,1.232768816,160.3493168,0.049926861,145.1195552,150.0106525,154.9280091,160.3493168,165.7282823,170.5349712,175.2490052
163.5,1.307628899,161.0014586,0.049802977,145.6915401,150.6210083,155.5647003,161.0014586,166.3823042,171.1798224,175.8753066
164.5,1.382473225,161.6477515,0.04966261,146.2633119,151.2294913,156.1976616,161.6477515,167.0284338,171.8151013,176.490594
165.5,1.456720479,162.2865119,0.049506051,146.8338868,151.8347622,156.8253238,162.2865119,167.6650085,172.4392666,177.0935299
