Agemos,L,M,S,P3,P10,P25,P50,P75,P90,P97
184.5,-1.471249702,52.82298572,0.174445958,40.41629881,43.53942133,47.39076866,52.82298572,60.10814351,69.27254876,82.67945587
185.5,-1.494789826,52.9807949,0.173596636,40.61059851,43.72263271,47.56176451,52.9807949,60.25849917,69.43538282,82.91657062
186.5,-1.518155513,53.13326946,0.172760982,40.79985847,43.90078396,47.72763073,53.13326946,60.40303292,69.59151495,83.1457778
187.5,-1.541286949,53.28056425,0.17194064,40.98402528,44.07387796,47.8884368,53.28056425,60.54198938,69.74124122,83.36727297
188.5,-1.564122852,53.42284417,0.171137232,41.16305606,44.24192774,48.04426208,53.42284417,60.67562433,69.8848705,83.581259
189.5,-1.586600712,53.5602837,0.170352363,41.33691866,44.40495652,48.19519564,53.5602837,60.80420388,70.0227235,83.78794544
190.5,-1.608657054,53.69306637,0.169587605,41.50559186,44.5629977,48.34133606,53.69306637,60.92800363,70.15513163,83.98754779
191.5,-1.630227728,53.82138422,0.168844497,41.66906547,44.71609485,48.4827912,53.82138422,61.04730771,70.28243588,84.18028693
192.5,-1.651248208,53.94543725,0.168124538,41.82734048,44.86430165,48.6196779,53.94543725,61.16240788,70.40498554,84.36638832
193.5,-1.67165392,54.06543278,0.167429179,41.98042905,45.00768175,48.7521217,54.06543278,61.27360245,70.52313696,84.54608137
194.5,-1.691380583,54.18158486,0.166759816,42.12835452,45.14630867,48.88025651,54.18158486,61.38119533,70.63725215,84.71959869
195.5,-1.710364557,54.29411356,0.166117788,42.27115134,45.28026556,49.0042242,54.29411356,61.48549489,70.74769732,84.88717537
196.5,-1.728543207,54.40324431,0.165504365,42.40886495,45.40964499,49.12417422,54.40324431,61.58681291,70.85484146,85.04904822
197.5,-1.745855274,54.50920717,0.164920747,42.54155162,45.5345486,49.24026312,54.50920717,61.68546339,70.95905471,85.205455
198.5,-1.762241248,54.61223603,0.164368054,42.66927817,45.65508683,49.35265405,54.61223603,61.7817614,71.06070688,85.35663368
199.5,-1.777643747,54.71256787,0.16384732,42.79212167,45.77137845,49.46151622,54.71256787,61.87602186,71.16016568,85.50282159
200.5,-1.792007891,54.81044184,0.163359491,42.91016914,45.88355015,49.5670243,54.81044184,61.96855832,71.25779513,85.64425466
201.5,-1.805281675,54.90609842,0.162905415,43.02351704,45.99173597,49.66935776,54.90609842,62.05968162,71.35395381,85.78116658
202.5,-1.817416335,54.99977846,0.162485839,43.13227083,46.09607679,49.76870017,54.99977846,62.14969862,71.44899305,85.91378798
203.5,-1.828366707,55.09172217,0.162101402,43.23654442,46.19671962,49.86523842,55.09172217,62.23891075,71.54325519,86.04234557
204.5,-1.838091576,55.18216811,0.161752634,43.33645956,46.29381699,49.95916191,55.18216811,62.32761268,71.63707172,86.16706131
205.5,-1.846554015,55.271352,0.161439944,43.43214518,46.38752609,50.05066163,55.271352,62.41609075,71.73076142,86.28815157
206.5,-1.853721704,55.35950558,0.161163623,43.52373663,46.47800802,50.13992923,55.35950558,62.50462147,71.82462845,86.40582627
207.5,-1.859567242,55.44685531,0.160923833,43.61137495,46.56542689,50.22715595,55.44685531,62.59346994,71.91896047,86.52028803
208.5,-1.864068443,55.53362107,0.160720609,43.69520604,46.64994883,50.31253151,55.53362107,62.68288814,72.01402668,86.63173131
209.5,-1.86720861,55.62001464,0.16055385,43.77537971,46.73174101,50.39624297,55.62001464,62.77311319,72.11007585,86.74034162
210.5,-1.8689768,55.70623826,0.160423319,43.85204883,46.81097052,50.47847336,55.70623826,62.86436555,72.20733438,86.84629466
211.5,-1.869371157,55.79247939,0.160328578,43.9253721,46.88780489,50.55939966,55.79247939,62.95684135,72.3059993,86.9497625
212.5,-1.868386498,55.87892356,0.160269232,43.99549743,46.96240411,50.6391944,55.87892356,63.05073398,72.40625667,87.05088422
213.5,-1.866033924,55.96573022,0.160244549,44.06258481,47.03492965,50.71801935,55.96573022,63.14619584,72.50824833,87.14980899
214.5,-1.862327775,56.05304601,0.160253714,44.12678882,47.10553608,50.79602716,56.05304601,63.24336091,72.61209121,87.24666536
215.5,-1.857289195,56.14099882,0.160295765,44.18826162,47.17437139,50.87335876,56.14099882,63.34233618,72.71786996,87.34156823
216.5,-1.850946286,56.22969564,0.16036959,44.24715174,47.24157543,50.95014153,56.22969564,63.44319934,72.82563495,87.43461808
217.5,-1.84333425,56.3192203,0.16047393,44.30360275,47.30727836,51.02648735,56.3192203,63.54599643,72.93540037,87.52590032
218.5,-1.834495505,56.40963105,0.160607377,44.35775192,47.37159889,51.10249055,56.40963105,63.65073939,73.04714239,87.61548453
219.5,-1.824479785,56.50095811,0.16076838,44.40972877,47.43464251,51.17822572,56.50095811,63.75740358,73.16079731,87.70342388
220.5,-1.813344222,56.59320107,0.160955249,44.45965358,47.49649958,51.25374544,56.59320107,63.86592525,73.27625982,87.78975439
221.5,-1.801153404,56.68632619,0.161166157,44.50763581,47.55724333,51.32907793,56.68632619,63.97619897,73.39338138,87.87449436
222.5,-1.787979408,56.78026364,0.161399151,44.5537724,47.61692775,51.40422448,56.78026364,64.08807505,73.51196857,87.95764367
223.5,-1.773901816,56.87490465,0.161652158,44.598146,47.6755854,51.47915686,56.87490465,64.20135697,73.63178167,88.03918325
224.5,-1.759007704,56.97009856,0.161922998,44.64082307,47.733225,51.55381463,56.97009856,64.31579883,73.75253327,88.11907438
225.5,-1.743391606,57.06564989,0.162209399,44.68185184,47.78982906,51.62810228,57.06564989,64.43110284,73.87388701,88.19725823
226.5,-1.72715546,57.16131528,0.162509006,44.72126019,47.84535121,51.70188628,57.16131528,64.54691678,73.99545642,88.27365525
227.5,-1.710410733,57.25679821,0.162819353,44.75905693,47.89971542,51.7749921,57.25679821,64.66282755,74.11679995,88.34816753
228.5,-1.693267093,57.35175792,0.163138124,44.79521204,47.9528045,51.84720202,57.35175792,64.77837954,74.23743894,88.42066003
229.5,-1.67585442,57.44578172,0.163462715,44.82968627,48.00447244,51.91824859,57.44578172,64.89303137,74.35682105,88.49100174
230.5,-1.658302847,57.53840429,0.163790683,44.86239882,48.05452712,51.98781418,57.53840429,65.00619161,74.47435424,88.55903385
231.5,-1.640747464,57.62910094,0.164119574,44.89323794,48.10273611,52.05553129,57.62910094,65.11720439,74.58938617,88.62454872
232.5,-1.623332891,57.7172758,0.164446997,44.92205384,48.14881709,52.12097097,57.7172758,65.22534243,74.70121281,88.68734305
233.5,-1.606209374,57.80226553,0.164770638,44.94865678,48.1924379,52.1836449,57.80226553,65.32980994,74.80907365,88.74718402
